Word_id,Sentence_id,Word,Label
1,1,Here,O
2,1,you,O
3,1,can,O
4,1,enjoy,O
5,1,stunning,O
6,1,views,O
7,1,of,O
8,1,the,O
9,1,city,O
10,1,with,O
11,1,good,O
12,1,weather,O
13,2,The,O
14,2,vast,O
15,2,desert,O
16,2,of,O
17,2,Sahara,O
18,2,is,O
19,2,known,O
20,2,for,O
21,2,its,O
22,2,endless,O
23,2,sand,O
24,2,dunes,O
25,3,The,O
26,3,Amazon,O
27,3,River,O
28,3,is,O
29,3,home,O
30,3,to,O
31,3,diverse,O
32,3,flora,O
33,3,and,O
34,3,fauna,O
35,4,The,O
36,4,Royal,O
37,4,Palace,O
38,4,in,O
39,4,Madrid,O
40,4,is,O
41,4,a,O
42,4,historical,O
43,4,masterpiece,O
44,5,The,O
45,5,Seine,O
46,5,River,O
47,5,flows,O
48,5,through,O
49,5,the,O
50,5,heart,O
51,5,of,O
52,5,Paris,O
53,6,Enjoy,O
54,6,the,O
55,6,breathtaking,O
56,6,views,O
57,6,of,O
58,6,the,O
59,6,Mediterranean,O
60,6,Sea,O
61,7,Hiking,O
62,7,along,O
63,7,the,O
64,7,beautiful,O
65,7,Amalfi,O
66,7,Coast,O
67,8,The,O
68,8,Grand,O
69,8,Canyon,O
70,8,offers,O
71,8,spectacular,O
72,8,views,O
73,8,of,O
74,8,unique,O
75,8,landscapes,O
76,9,Explore,O
77,9,the,O
78,9,wonders,O
79,9,of,O
80,9,the,O
81,9,Great,O
82,9,Barrier,O
83,9,Reef,O
84,10,The,O
85,10,Nile,O
86,10,River,O
87,10,flows,O
88,10,through,O
89,10,the,O
90,10,African,O
91,10,continent,O
92,11,Enjoy,O
93,11,the,O
94,11,serenity,O
95,11,of,O
96,11,the,O
97,11,Baltic,O
98,11,Sea,O
99,12,Take,O
100,12,in,O
101,12,the,O
102,12,beauty,O
103,12,of,O
104,12,Lake,O
105,12,Louise,O
106,13,The,O
107,13,Sahara,O
108,13,Desert,O
109,13,spans,O
110,13,across,O
111,13,multiple,O
112,13,countries,O
113,14,Marvel,O
114,14,at,O
115,14,the,O
116,14,colors,O
117,14,of,O
118,14,the,O
119,14,Northern,O
120,14,Lights,O
121,15,Discover,O
122,15,the,O
123,15,beauty,O
124,15,of,O
125,15,the,O
126,15,Amber,O
127,15,Coast,O
128,21,Experience,O
129,21,the,O
130,21,serenity,O
131,21,of,O
132,21,the,O
133,21,Kerala,O
134,21,Backwaters,O
135,22,Take,O
136,22,in,O
137,22,the,O
138,22,beauty,O
139,22,of,O
140,22,the,O
141,22,Caribbean,O
142,22,Sea,O
143,23,Visit,O
144,23,the,O
145,23,panoramic,O
146,23,views,O
147,23,of,O
148,23,the,O
149,23,Great,O
150,23,Ocean,O
151,24,Explore,O
152,24,the,O
153,24,wonders,O
154,24,of,O
155,24,the,O
156,24,Amsterdam,O
157,25,Admire,O
158,25,the,O
159,25,beauty,O
160,25,of,O
161,25,the,O
162,25,Seychelles,O
163,26,Discover,O
164,26,the,O
165,26,beauty,O
166,26,of,O
167,26,the,O
168,26,Andaman,O
169,26,Islands,O
170,27,Marvel,O
171,27,at,O
172,27,the,O
173,27,stunning,O
174,27,views,O
175,27,of,O
176,27,the,O
177,27,Aletsch,O
178,27,Glacier,O
179,28,Take,O
180,28,a,O
181,28,cruise,O
182,28,along,O
183,28,the,O
184,28,beautiful,O
185,28,Amur,O
186,28,River,O
187,29,Explore,O
188,29,the,O
189,29,rich,O
190,29,culture,O
191,29,of,O
192,29,Kyoto,O
193,29,City,O
194,30,Admire,O
195,30,the,O
196,30,splendor,O
197,30,of,O
198,30,the,O
199,30,Arctic,O
200,30,Ocean,O
201,31,Discover,O
202,31,the,O
203,31,unique,O
204,31,landscapes,O
205,31,of,O
206,31,the,O
207,31,Cappadocia,O
208,32,Marvel,O
209,32,at,O
210,32,the,O
211,32,crystal,O
212,32,clear,O
213,32,waters,O
214,32,of,O
215,32,the,O
216,32,Maldives,O
