Word_id,Sentence_id,Word,Label
1,1,In,O
2,1,the,O
3,1,Carpathians,B
4,1,to,O
5,1,the,O
6,1,winter,O
7,1,holidays,O
8,1,are,O
9,1,invited,O
10,1,to,O
11,1,numerous,O
12,1,ski,O
13,1,resorts,O
14,2,Exploring,O
15,2,the,O
16,2,majestic,O
17,2,Rockies,B
18,2,during,O
19,2,summer,O
20,2,reveals,O
21,2,stunning,O
22,2,landscapes,O
23,3,Hiking,O
24,3,enthusiasts,O
25,3,often,O
26,3,choose,O
27,3,the,O
28,3,Himalayas,B
29,3,for,O
30,3,challenging,O
31,3,treks,O
32,4,In,O
33,4,Swiss,B
34,4,Alps,I
35,4,offer,O
36,4,breathtaking,O
37,4,views,O
38,5,Mount,O
39,5,Everest,B
40,5,is,O
41,5,the,O
42,5,world's,O
43,5,highest,O
44,5,peak,O
45,6,During,O
46,6,autumn,O
47,6,the,O
48,6,Pyrenees,B
49,6,showcase,O
50,7,The,O
51,7,Swiss,B
52,7,countryside,I
53,7,offers,O
54,7,charming,O
55,7,villages,O
56,7,nestled,O
57,7,in,O
58,7,the,O
59,7,Jura,B
60,7,Mountains,I
61,8,Climbing,O
62,8,enthusiasts,O
63,8,frequently,O
64,8,visit,O
65,8,the,O
66,8,Andes,B
67,8,for,O
68,8,its,O
69,8,challenging,O
70,8,peaks,O
71,9,The,O
72,9,Appalachian,B
73,9,Trail,I
74,9,is,O
75,9,renowned,O
76,9,for,O
77,9,its,O
78,9,scenic,O
79,9,beauty,O
80,10,Explorers,O
81,10,venture,O
82,10,into,O
83,10,the,O
84,10,Ural,B
85,10,Mountains,I
86,10,seeking,O
87,10,untouched,O
88,10,wilderness,O
89,11,During,O
90,11,summer,O
91,11,months,O
92,11,the,O
93,11,Sierra,B
94,11,Nevada,I
95,11,offers,O
96,11,excellent,O
97,11,hiking,O
98,11,opportunities,O
99,12,The,O
100,12,Dolomites,B
101,12,in,O
102,12,Italy,O
103,12,are,O
104,12,famous,O
105,12,for,O
106,12,their,O
107,12,dramatic,O
108,12,limestone,O
109,12,peaks,O
110,13,Mount,O
111,13,Kilimanjaro,B
112,13,stands,O
113,13,tall,O
114,13,as,O
115,13,Africa's,O
116,13,highest,O
117,13,free-standing,O
118,13,mountain,O
119,14,The,O
120,14,Great,B
121,14,Dividing,I
122,14,Range,I
123,14,in,O
124,14,Australia,O
125,14,stretches,O
126,14,across,O
127,14,the,O
128,14,continent,O
129,15,Trekking,O
130,15,through,O
131,15,the,O
